Iteration,Best Distance,Average Distance
585,11506.87594494797,11872.982942816088
586,11506.87594494797,11849.581294377174
587,11506.87594494797,11872.770228809071
588,11506.87594494797,11873.914805950386
589,11506.87594494797,11839.673411254054
590,11506.87594494797,11785.874745572586
591,11506.87594494797,11770.09040029672
592,11506.87594494797,11816.421550279823
593,11506.87594494797,11896.472669145594
594,11506.87594494797,11765.483656482009
595,11506.87594494797,11819.07400287268
596,11506.87594494797,11769.463884459676
597,11506.87594494797,11797.559432096929
598,11506.87594494797,11842.109532076796
599,11506.87594494797,11726.052566936933
600,11506.87594494797,11781.345873544067
601,11506.87594494797,11848.915303076226
602,11506.87594494797,11861.51662405799
603,11506.87594494797,11791.420348529738
604,11506.87594494797,11771.291966770803
605,11506.87594494797,11781.070567778306
606,11506.87594494797,11786.291247869067
607,11506.87594494797,11732.597585238864
608,11506.87594494797,11824.04415676022
609,11506.87594494797,11790.22838040285
610,11506.87594494797,11731.030648264696
611,11506.87594494797,11783.65061047589
612,11506.87594494797,11840.68644247033
613,11506.87594494797,11830.7814456363
614,11506.87594494797,11837.653926373541
615,11506.87594494797,11825.536663920087
616,11506.87594494797,11817.764076085652
617,11506.87594494797,11792.995827325123
618,11506.87594494797,11779.010184870482
619,11506.87594494797,11764.003283083968
620,11506.87594494797,11784.313876463426
621,11506.87594494797,11833.854492860604
622,11506.87594494797,11770.465645117516
623,11506.87594494797,11806.90482956291
624,11506.87594494797,11757.928906807942
625,11506.87594494797,11798.768629059252
626,11506.87594494797,11781.629017714477
627,11506.87594494797,11710.967114410148
628,11506.87594494797,11820.951965114877
629,11506.87594494797,11763.139835825958
630,11506.87594494797,11760.245155941378
631,11506.87594494797,11769.113858290582
632,11506.87594494797,11745.004581009329
633,11506.87594494797,11703.684949523697
634,11506.87594494797,11793.215479866158
635,11506.87594494797,11728.851315040456
636,11506.87594494797,11757.515730537816
637,11506.87594494797,11800.364566993807
638,11506.87594494797,11713.997861417009
639,11506.87594494797,11765.968507970656
640,11506.87594494797,11745.446337686624
641,11506.87594494797,11713.990519981127
642,11506.87594494797,11793.962273108242
643,11506.87594494797,11796.001462743438
644,11506.87594494797,11792.132577447755
645,11506.87594494797,11790.568792884795
646,11506.87594494797,11749.242164591613
647,11506.87594494797,11746.970953653386
648,11506.87594494797,11739.828965434037
649,11506.87594494797,11734.154325608453
650,11506.87594494797,11801.552632634752
651,11506.87594494797,11756.308503934044
652,11506.87594494797,11789.736984707015
653,11506.87594494797,11731.369522315608
654,11506.87594494797,11809.502227163646
655,11506.87594494797,11732.784184914513
656,11506.87594494797,11721.397997372129
657,11506.87594494797,11710.300166071353
658,11506.87594494797,11755.760194307866
659,11506.87594494797,11756.247030942717
660,11506.87594494797,11763.566782407495
661,11506.87594494797,11744.612348782923
662,11506.87594494797,11741.069187087594
663,11506.87594494797,11749.934446182053
664,11506.87594494797,11794.276243609456
665,11506.87594494797,11775.22716395289
666,11506.87594494797,11721.684172821215
667,11506.87594494797,11780.233440673243
668,11506.87594494797,11760.050947365038
669,11506.87594494797,11737.52044575185
670,11480.210514013468,11737.003294176264
671,11480.210514013468,11974.771752051427
672,11480.210514013468,12016.650408924259
673,11480.210514013468,11982.434982861523
674,11480.210514013468,11854.438111262743
675,11471.0490140247,11914.526998656554
676,11471.0490140247,11962.137184148394
677,11471.0490140247,11963.448388989416
678,11471.0490140247,11966.66817705866
679,11471.0490140247,11880.631431018894
680,11471.0490140247,11859.400572702845
681,11471.0490140247,11935.345077775044
682,11471.0490140247,12039.280491040643
683,11471.0490140247,12053.92508559779
684,11471.0490140247,11919.982125325218
685,11471.0490140247,11949.989724702262
686,11471.0490140247,12049.030689442689
687,11471.0490140247,12106.578617755617
688,11471.0490140247,12076.50010518761
689,11471.0490140247,12011.113190338014
