Iteration,Best Distance,Current Distance,Iter Time (s),Cumulative Time (s)
292,22353.155358636854,23913.044988024714,2.2411346435546875e-05,0.06082558631896973
293,22353.155358636854,24259.417834112177,2.1696090698242188e-05,0.06105446815490723
294,22353.155358636854,24107.039220141018,2.1696090698242188e-05,0.061263084411621094
295,22353.155358636854,23615.224048624525,2.2172927856445312e-05,0.061475276947021484
296,22353.155358636854,23615.224048624525,2.384185791015625e-05,0.061699628829956055
297,22353.155358636854,23238.920580124777,2.2172927856445312e-05,0.0619199275970459
298,22353.155358636854,23396.37794435381,2.2172927856445312e-05,0.06212592124938965
299,22353.155358636854,22993.847016315565,2.2172927856445312e-05,0.062403202056884766
300,22353.155358636854,22916.042521860785,2.193450927734375e-05,0.06261420249938965
301,22353.155358636854,23317.398687145527,2.4318695068359375e-05,0.06285357475280762
302,22353.155358636854,23317.398687145527,2.288818359375e-05,0.06307029724121094
303,22353.155358636854,23670.55866129261,2.2411346435546875e-05,0.06328439712524414
304,22353.155358636854,23627.220358409166,2.3126602172851562e-05,0.06350493431091309
305,22353.155358636854,24266.456631060995,2.2172927856445312e-05,0.06372308731079102
306,22353.155358636854,23529.932797190042,2.1219253540039062e-05,0.06394815444946289
307,22353.155358636854,23190.66803547523,2.0503997802734375e-05,0.0641624927520752
308,22353.155358636854,22404.87045673344,2.1457672119140625e-05,0.06437182426452637
309,22162.649510091534,22162.649510091534,2.2649765014648438e-05,0.06458783149719238
310,22081.662511506904,22081.662511506904,2.1696090698242188e-05,0.06481218338012695
311,22081.662511506904,22081.662511506904,2.2172927856445312e-05,0.06502413749694824
312,22081.662511506904,22081.662511506904,2.0503997802734375e-05,0.06523537635803223
313,22081.662511506904,22081.662511506904,2.0503997802734375e-05,0.06544065475463867
314,22081.662511506904,22212.42435851423,2.0265579223632812e-05,0.06564688682556152
315,22081.662511506904,22212.42435851423,2.09808349609375e-05,0.06586122512817383
316,22081.662511506904,22091.456036792122,2.09808349609375e-05,0.06609344482421875
317,22081.662511506904,22339.548318091518,2.09808349609375e-05,0.06630158424377441
318,22081.662511506904,22339.548318091518,2.0503997802734375e-05,0.06650710105895996
319,22081.662511506904,22339.548318091518,2.1457672119140625e-05,0.06671309471130371
320,22081.662511506904,22461.831892218324,2.4557113647460938e-05,0.06691908836364746
321,22081.662511506904,22461.831892218324,2.3365020751953125e-05,0.06713175773620605
322,22081.662511506904,22675.54644953156,2.3603439331054688e-05,0.06751179695129395
323,22081.662511506904,22675.54644953156,2.9802322387695312e-05,0.0677332878112793
324,22081.662511506904,22415.908693455007,2.002716064453125e-05,0.06793618202209473
325,22081.662511506904,22817.5931743028,2.09808349609375e-05,0.06817102432250977
326,22081.662511506904,23091.21275051945,2.09808349609375e-05,0.06837248802185059
327,22081.662511506904,23091.21275051945,2.1219253540039062e-05,0.06858325004577637
328,22081.662511506904,23091.21275051945,2.5033950805664062e-05,0.06881308555603027
329,22081.662511506904,23171.57317976851,2.1457672119140625e-05,0.06902647018432617
330,22081.662511506904,23076.313555055815,2.8133392333984375e-05,0.06925010681152344
331,22081.662511506904,23076.313555055815,2.193450927734375e-05,0.06948328018188477
332,22081.662511506904,22987.099405507863,2.1457672119140625e-05,0.06969547271728516
333,22081.662511506904,22869.012443386193,2.0265579223632812e-05,0.07000899314880371
334,22081.662511506904,23405.94911263226,2.09808349609375e-05,0.07020807266235352
335,22081.662511506904,23405.94911263226,2.0742416381835938e-05,0.0704190731048584
336,22081.662511506904,23167.593235609922,2.002716064453125e-05,0.07067632675170898
337,22081.662511506904,23427.255726450345,2.0742416381835938e-05,0.07087516784667969
338,22081.662511506904,23366.20649068721,1.9550323486328125e-05,0.07106828689575195
339,22081.662511506904,23250.5751093947,1.9073486328125e-05,0.07126092910766602
340,22081.662511506904,23250.5751093947,2.002716064453125e-05,0.07145214080810547
341,22081.662511506904,23250.5751093947,1.9788742065429688e-05,0.07164406776428223
342,22081.662511506904,23031.90023939247,1.9788742065429688e-05,0.07184576988220215
343,22081.662511506904,23113.278253632572,2.0742416381835938e-05,0.07205390930175781
344,22081.662511506904,23587.222829952952,2.0265579223632812e-05,0.07224535942077637
345,22081.662511506904,23586.584976837763,2.0742416381835938e-05,0.07246017456054688
346,22081.662511506904,23580.37456631888,1.9788742065429688e-05,0.07265567779541016
347,22081.662511506904,23580.37456631888,1.9788742065429688e-05,0.07284712791442871
348,22081.662511506904,23544.042077451635,1.9311904907226562e-05,0.07303810119628906
349,22081.662511506904,23552.04935594349,2.0503997802734375e-05,0.07323217391967773
350,22081.662511506904,23934.82537979402,1.9550323486328125e-05,0.07342362403869629
351,22081.662511506904,23738.56872598098,1.9311904907226562e-05,0.07361268997192383
352,22081.662511506904,23787.943947581545,2.0265579223632812e-05,0.07381057739257812
353,22081.662511506904,23320.041126495522,2.2411346435546875e-05,0.0740365982055664
354,22081.662511506904,23320.041126495522,2.1457672119140625e-05,0.07426166534423828
355,22081.662511506904,23338.367875335858,2.193450927734375e-05,0.07446622848510742
